
apache-native, 64.72, 65.38, 63.73, 64.73, 65.88, 64.71, 65.45, 64.82, 65.76, 63.98, 65.48, 65.35, 63.32, 64.79, 61.60, 63.51, 63.41, 64.79, 62.67, 64.53, 62.74, 65.32, 64.60, 64.09, 64.61, 65.46, 63.60, 64.71, 65.14, 64.86, 65.95, 64.66, 65.28, 65.94, 65.05, 64.87, 66.11, 64.97, 65.58, 62.80, 65.94, 65.44, 65.38, 64.50, 64.74, 64.26, 64.68, 64.72, 65.60, 65.49
apache-none, 58.11, 65.53, 62.69, 65.94, 63.98, 64.67, 65.06, 66.34, 64.84, 63.65, 63.77, 64.29, 64.63, 65.78, 65.25, 65.42, 62.65, 66.03, 63.37, 63.47, 64.38, 65.97, 65.14, 64.17, 64.34, 64.16, 61.42, 62.95, 66.54, 63.43, 65.19, 64.60, 62.70, 62.65, 62.83, 63.63, 65.19, 65.41, 65.76, 65.25, 64.20, 62.68, 64.42, 65.88, 63.64, 65.36, 66.09, 63.36, 65.04, 64.08
apache-sandbox, 59.96, 64.34, 65.17, 64.95, 65.00, 64.64, 63.20, 65.70, 65.20, 65.20, 64.76, 64.16, 63.88, 62.61, 63.76, 65.19, 63.38, 64.48, 64.97, 64.40, 64.83, 65.56, 65.44, 64.98, 64.52, 63.13, 65.97, 67.34, 65.30, 65.61, 63.75, 63.83, 64.89, 66.85, 63.05, 66.94, 66.79, 64.81, 65.66, 64.46, 64.51, 65.73, 65.62, 65.93, 62.90, 62.16, 65.05, 64.07, 66.19, 63.94
configure-bash, 12.41, 11.39, 11.53, 11.37, 11.37, 11.41, 11.39, 11.37, 11.35, 11.53, 11.48, 11.35, 11.37, 11.61, 11.44, 11.50, 11.38, 11.38, 11.35, 11.46, 11.46, 11.35, 11.44, 11.35, 11.37, 11.40, 11.36, 11.39, 11.41, 11.34, 11.54, 11.40, 11.41, 11.37, 11.34, 11.39, 11.39, 11.39, 11.49, 11.38, 11.36, 11.35, 11.51, 12.58, 11.40, 11.37, 11.46, 11.41, 11.35, 11.45
configure-none, 12.73, 11.37, 11.29, 11.30, 11.27, 11.33, 11.30, 11.27, 11.36, 11.39, 11.47, 11.44, 12.52, 11.52, 11.27, 11.40, 11.27, 11.28, 11.40, 11.37, 11.27, 11.31, 11.30, 11.43, 11.38, 11.29, 11.31, 11.31, 11.40, 11.29, 11.38, 11.32, 11.47, 11.33, 11.29, 11.36, 11.40, 11.31, 11.42, 11.33, 11.30, 11.36, 11.31, 11.50, 11.74, 11.48, 11.40, 11.67, 11.33, 11.29
configure-sandbox, 14.95, 14.65, 14.61, 14.62, 14.63, 14.65, 14.64, 14.65, 14.64, 14.61, 14.64, 14.65, 14.67, 14.63, 14.61, 14.62, 14.65, 14.64, 14.62, 14.61, 14.64, 14.63, 14.64, 14.63, 14.64, 14.64, 14.63, 14.61, 14.64, 14.64, 14.65, 14.64, 14.86, 14.64, 14.62, 14.64, 14.64, 14.64, 14.62, 14.62, 14.61, 14.64, 14.64, 14.62, 14.61, 14.64, 14.63, 14.61, 14.63, 14.62
curl-bash,  1.38,  1.09,  0.97,  0.95,  1.10,  1.11,  1.04,  0.95,  1.18,  1.09,  0.96,  0.94,  1.05,  0.96,  1.10,  1.09,  1.02,  1.13,  1.00,  1.12,  1.21,  0.97,  1.06,  1.24,  1.13,  0.96,  1.06,  1.02,  1.19,  1.06,  0.98,  0.95,  1.10,  0.98,  1.07,  1.04,  1.27,  1.00,  1.11,  1.13,  1.05,  1.08,  1.03,  1.32,  1.05,  1.10,  0.96,  0.95,  1.02,  1.31
curl-none,  1.15,  1.40,  1.22,  1.01,  1.04,  1.17,  1.24,  1.54,  1.17,  1.01,  1.24,  1.34,  1.06,  1.00,  0.99,  1.08,  1.12,  1.24,  1.18,  1.06,  1.13,  1.03,  1.16,  1.12,  1.16,  1.17,  0.95,  1.19,  1.11,  1.24,  1.10,  1.07,  1.25,  1.27,  1.05,  1.12,  1.07,  1.34,  1.16,  1.19,  1.13,  1.20,  1.21,  1.05,  1.23,  1.24,  1.34,  1.31,  1.32,  1.30
curl-sandbox,  7.88,  6.42,  6.35,  6.38,  6.33,  6.40,  6.34,  6.40,  6.43,  6.32,  6.19,  6.25,  6.47,  6.27,  6.52,  6.29,  6.31,  6.40,  6.48,  6.23,  6.32,  6.79,  6.49,  6.35,  6.69,  6.23,  6.48,  6.50,  6.22,  6.50,  6.21,  6.27,  6.29,  6.32,  6.45,  6.51,  6.52,  6.51,  6.34,  6.41,  6.29,  6.31,  6.18,  6.35,  6.83,  6.40,  7.81,  6.49,  6.28,  6.42
emacs-bash,102.76, 91.18, 90.48, 99.84,100.71, 91.29, 92.03,100.70,100.54, 90.97, 91.22, 91.24, 99.37, 99.99, 91.14, 91.13, 90.88, 91.11, 90.48,100.27, 91.00, 91.42, 99.80, 99.82, 91.38,100.17, 99.88, 91.46,100.63, 91.02, 91.37, 90.56, 99.99, 91.61,100.20, 91.13, 91.46, 91.69, 90.64, 90.83, 90.82, 90.83, 90.98, 90.99, 91.37, 90.23, 91.39, 99.60, 91.58, 91.76
emacs-none, 91.36,101.64, 90.70,100.54,100.64, 90.20, 90.08, 91.84, 91.02, 91.51,100.30, 91.10, 91.39, 91.48, 91.02, 90.79, 99.52, 90.78, 91.00, 99.35, 91.79, 91.29, 99.97, 91.48, 92.66, 91.12,100.60,101.43, 91.54, 90.83, 91.91, 91.00, 91.94,100.63, 91.25,101.15, 90.88,101.11, 91.16, 92.53, 99.19, 91.97, 99.55, 92.30,101.08, 91.48, 90.66, 92.03, 90.52, 92.31
emacs-sandbox, 95.37,104.26, 94.56, 94.80, 95.21, 95.01,103.87, 94.60, 95.13, 94.92, 94.67,104.33, 95.35,103.60, 95.18,103.11, 94.62,104.73, 95.09,105.45, 94.87, 95.44, 94.19,103.74, 95.19, 94.18, 95.42, 95.00, 95.39, 94.26, 94.50,104.23,104.57, 95.48, 94.92, 94.21,104.09, 95.08,103.79, 95.14, 95.34, 95.12,103.68,103.29,104.71, 94.99, 94.87, 94.61,103.06, 95.89
emacs-shill, 96.40,105.39, 96.17,104.09, 94.97, 94.67, 95.03, 95.49,104.86, 94.65, 95.00, 94.59,105.07,104.98, 94.87,104.60,105.97,104.47, 96.00, 95.24,104.85,103.93, 95.13,103.77, 95.29, 95.91, 95.10, 95.11,104.48,104.60, 94.97,103.86, 95.48,104.05, 95.30,104.40,104.86, 96.01, 95.06,105.19,103.81, 95.74, 95.57, 95.95, 95.22,103.46, 95.72,104.08, 94.79,104.04
find-exec-sandbox, 15.81, 13.26, 13.27, 13.39, 13.24, 13.25, 13.25, 13.26, 13.25, 13.34, 13.25, 13.40, 13.30, 13.41, 13.29, 13.28, 13.26, 13.27, 13.26, 13.25, 13.36, 13.23, 13.35, 13.25, 13.46, 13.25, 13.29, 13.38, 13.25, 13.25, 13.25, 13.27, 13.30, 13.35, 13.22, 13.39, 13.24, 13.38, 13.24, 13.30, 13.29, 13.28, 13.30, 13.28, 13.36, 13.25, 13.37, 13.30, 13.40, 13.25
